n,vel_max,acel,angulo_objetivo,direccion,angulo_odom,angulo_real
1,0.3,0.5,90,CW,89.958,94.365
2,0.3,0.5,90,CW,89.973,94.108
3,0.3,0.5,90,CW,90.079,94.583
4,0.3,0.5,90,CCW,90.076,92.067
5,0.3,0.5,90,CCW,90.0,90.261
6,1.5,0.5,90,CW,89.94,90.016
7,0.3,0.5,180,CW,180.009,190.915
8,0.3,0.5,180,CW,179.94,190.224
9,0.3,0.5,180,CW,179.939,191.966
10,0.3,0.5,180,CCW,179.947,187.597
11,0.3,0.5,180,CCW,179.994,188.058
12,0.3,0.5,180,CCW,179.998,185.377
13,0.6,0.5,180,CW,179.932,181.615
14,0.6,0.5,180,CW,180.133,180.4
15,0.6,0.5,180,CW,179.968,179.743
16,0.6,0.5,180,CCW,179.953,178.673
17,0.6,0.5,180,CCW,179.975,180.315
18,0.6,0.5,180,CCW,179.924,179.555
19,0.8,0.5,180,CW,179.924,178.237
20,0.8,0.5,180,CW,179.939,177.715
21,0.8,0.5,180,CW,179.946,178.723
22,0.8,0.5,180,CCW,179.911,176.956
23,0.8,0.5,180,CCW,179.914,177.249
24,0.8,0.5,180,CCW,179.943,176.704
25,1.0,0.5,180,CW,179.911,178.674
26,1.0,0.5,180,CW,179.958,178.089
27,1.0,0.5,180,CW,179.988,177.852
28,1.0,0.5,180,CCW,179.922,174.943
29,1.0,0.5,180,CCW,179.922,178.159
30,1.0,0.5,180,CCW,180.114,176.2
31,1.5,0.5,180,CW,179.93,178.081
32,1.5,0.5,180,CW,179.932,176.569
33,1.5,0.5,180,CW,179.922,178.917
34,1.5,0.5,180,CCW,179.988,177.507
35,1.5,0.5,180,CCW,180.05,176.304
36,1.5,0.5,180,CCW,179.992,175.889
37,2.0,0.5,180,CW,179.972,175.527
38,2.0,0.5,180,CW,179.992,177.823
39,2.0,0.5,180,CW,179.979,177.627
40,2.0,0.5,180,CCW,179.984,174.408
41,2.0,0.5,180,CCW,180.008,175.106
42,2.0,0.5,180,CCW,179.927,176.35
43,0.3,0.5,360,CW,359.975,387.508
44,0.3,0.5,360,CW,359.96,386.63
45,0.3,0.5,360,CW,359.921,387.804
46,0.3,0.5,360,CCW,359.925,376.759
47,0.3,0.5,360,CCW,359.922,375.147
48,0.3,0.5,360,CCW,360.018,377.753
49,0.6,0.5,360,CW,359.917,361.918
50,0.6,0.5,360,CW,359.951,362.654
51,0.6,0.5,360,CW,360.039,361.668
52,0.6,0.5,360,CCW,360.053,359.862
53,0.6,0.5,360,CCW,359.994,358.944
54,0.6,0.5,360,CCW,359.992,361.134
55,0.8,0.5,360,CW,359.973,356.195
56,0.8,0.5,360,CW,359.953,355.321
57,0.8,0.5,360,CW,359.973,354.979
58,0.8,0.5,360,CCW,359.959,354.104
59,0.8,0.5,360,CCW,359.909,355.511
60,0.8,0.5,360,CCW,359.956,355.372
61,1.0,0.5,360,CW,359.92,353.167
62,1.0,0.5,360,CW,359.958,353.062
63,1.0,0.5,360,CW,360.117,354.263
64,1.0,0.5,360,CCW,359.97,352.876
65,1.0,0.5,360,CCW,360.095,353.74
66,1.0,0.5,360,CCW,360.014,353.092
67,1.5,0.5,360,CW,359.983,355.776
68,1.5,0.5,360,CW,359.951,355.291
69,1.5,0.5,360,CW,359.944,351.974
70,1.5,0.5,360,CCW,359.965,352.426
71,1.5,0.5,360,CCW,360.089,355.32
72,1.5,0.5,360,CCW,359.964,353.809
73,2.0,0.5,360,CW,359.924,354.795
74,2.0,0.5,360,CW,360.004,355.793
75,2.0,0.5,360,CW,359.92,353.692
76,2.0,0.5,360,CCW,359.986,350.646
77,2.0,0.5,360,CCW,359.94,353.884
78,2.0,0.5,360,CCW,360.018,352.881
