filename,angle_initial,angle_final,delta_angle
270º-w=0.6-α=0.5-seg01.MOV,-0.5947,-81.6168,-81.022
270º-w=0.6-α=0.5-seg02.MOV,-81.9829,-161.9395,-79.9566
270º-w=0.6-α=0.5-seg03.MOV,-161.9395,117.0092,-81.0513
270º-w=0.6-α=0.5-seg04.MOV,117.0058,35.7667,-81.2391
270º-w=0.6-α=0.5-seg05.MOV,35.9542,-45.2809,-81.2351
270º-w=0.6-α=0.5-seg06.MOV,-127.8228,150.182,-81.9952
270º-w=0.6-α=0.5-seg07.MOV,150.084,68.0893,-81.9947
270º-w=0.6-α=0.5-seg08.MOV,68.0159,-13.5572,-81.5731
270º-w=0.6-α=0.5-seg09.MOV,-13.4109,-94.9957,-81.5848
270º-w=0.6-α=0.5-seg10.MOV,-94.9957,-176.2386,-81.2429
270º-w=0.6-α=0.5-seg11.MOV,101.696,19.3087,-82.3873
